spectral_ars;spectral_std;kmeans_ars;kmeans_std;tangle_ars;tangle_std;dataset_name;agreement;percentile;blob_sizes;blob_centers;blob_variances;k;radius;n_samples;noise;path;use_cuts;dual
0.9900399665858512;0.016050122559721176;0.9861203075337556;0.023515648034747004;0.8522135470489113;0.05651362824557631;knn_blobs;40;50;[100, 100];[[-2, -2], [2, 2]];[[1, 1], [1, 1]];10.0;;;;;;
0.2858122697757021;0.014866174743775934;0.2632132104048696;0.01069877091194318;0.3235720672920201;0.05581816746220727;moons;100;20;;;;;0.3;300.0;0.1;;;
0.8478837266544772;0.01761537239778067;0.852039131303932;0.02061216419156369;0.8359601486884659;0.014337629905440206;knn_blobs;50;20;[100, 100, 100, 100];[[-2, -2], [2, 2], [-2, 2], [2, -2]];[[1, 1], [1, 1], [1, 1], [1, 1]];10.0;;;;;;
0.9042258004629484;0.0014660503039665151;0.8675542262561524;0.010136174785235652;0.7345941506362085;0.1450814415830316;knn_blobs;50;20;[50, 50, 200, 100];[[-2, -2], [2, 2], [-2, 2], [2, -2]];[[1, 1], [1, 1], [1, 1], [1, 1]];10.0;;;;;;
0.8957564068563657;0.02593605722201781;0.8840814504058511;0.030915819834897964;0.8519526657247118;0.043538640437716984;knn_blobs;25;20;[50, 50, 200, 100];[[-2, -2], [2, 2], [-2, 2], [2, -2]];[[1, 1], [1, 1], [1, 1], [1, 1]];10.0;;;;;;
-0.0022003251422394727;0.0;0.2225751180513268;0.050683060799525885;0.22419139687246886;0.0668792331969709;microbiome;5;20;;;;5.0;;;;datasets/microbiome.csv;False;False
0.27796950748195964;0.01471251119601472;0.24978228865621496;0.017065173922475658;0.2170234609188501;0.07351748361038908;moons;100;20;;;;;0.2;300.0;0.1;;;
0.2736565325831757;0.010866647587826107;0.2253761268952489;0.010355212960504637;0.16077468530581593;0.07663807794995954;moons;100;30;;;;;0.3;300.0;0.1;;;
0.2816172056531344;0.01805142976656043;0.2351146650797133;0.02816907541308997;0.20477495555841524;0.07011329138648104;moons;100;30;;;;;0.1;300.0;0.1;;;
0.2749529791270725;0.0;0.2474833337086751;0.0;0.2831968227737427;0.0;moons;150;30;;;;;0.1;300.0;0.1;;;
0.2779388285956877;0.013184625620837252;0.2278057451575692;0.02425445907336356;0.20606263486195767;0.12281964793850908;moons;100;10;;;;;0.1;300.0;0.1;;;
0.27040131843629633;0.01961824163182858;0.23436479616687;0.008735070276968432;0.279431972898431;0.08469475322703962;moons;100;10;;;;;0.1;300.0;0.1;;;
0.2662822085896848;0.021018218081127384;0.2331157648291216;0.011227731970352085;0.3712819337433739;0.10672320719297576;moons;100;10;;;;;0.1;300.0;0.1;;;
0.8883835556230671;0.03392656237897052;0.8821921948840256;0.03480421102149769;0.4402075207277725;0.2406926691958361;knn_blobs;20;10;[50, 50, 200, 100];[[-2, -2], [2, 2], [-2, 2], [2, -2]];[[1, 1], [1, 1], [1, 1], [1, 1]];10.0;;;;;;
0.2662810093345111;0.021017318456527455;0.2337267977866005;0.00939754930201772;0.48227625740146796;0.06941706244328529;moons;100;100;;;;;0.3;300.0;0.1;;;
0.28379302556020825;0.01919346490547592;0.24785125076383765;0.018867357678620408;0.5473807553438153;0.026078946590114543;moons;100;50;;;;;0.3;300.0;0.1;;;
0.2940141411163145;0.0229972451492078;0.2564321135147141;0.013331377966195095;0.5431302224929933;0.046372898074549716;moons;100;50;;;;;0.3;300.0;0.1;;;
0.8427886297703114;0.13607027700283847;0.2594823087011863;0.022674265670835945;0.5343414648857213;0.04738966724462385;moons;100;50;;;;;0.3;300.0;0.1;;;
0.8002514086862696;0.10947768217071416;0.8895814349091344;0.027068538320752608;0.5548567536859986;0.32930559390024183;knn_blobs;20;20;[50, 50, 200, 100];[[-2, -2], [2, 2], [-2, 2], [2, -2]];[[1, 1], [1, 1], [1, 1], [1, 1]];10.0;;;;;;
0.8659725585149312;1.1102230246251563e-16;0.8677722641436594;0.0;0.56434466032023;1.1102230246251563e-16;knn_blobs;20;10;[50, 50, 200, 100];[[-2, -2], [2, 2], [-2, 2], [2, -2]];[[1, 1], [1, 1], [1, 1], [1, 1]];10.0;;;;;;
0.8150809386901866;0.07752506054222559;0.8789167892521548;0.02827937579880605;0.4967227748149575;0.2871783554838479;knn_blobs;20;20;[50, 50, 200, 100];[[-2, -2], [2, 2], [-2, 2], [2, -2]];[[1, 1], [1, 1], [1, 1], [1, 1]];10.0;;;;;;
0.7746580261202081;0.11185029824016335;0.8824218118316814;0.03743019490569596;0.2971605882897984;0.2634201178489434;knn_blobs;40;20;[50, 50, 200, 100];[[-2, -2], [2, 2], [-2, 2], [2, -2]];[[1, 1], [1, 1], [1, 1], [1, 1]];10.0;;;;;;
